Glucose Concentration,ATP Threshold,Virus Partition Ratio,Host Lifespan,Virus Mass
500, 0.6843, 0, 327, 1.5426358964750003e-08
500, 0.6843, 0.05, 327, 1.5426358964780003e-08
500, 0.6843, 0.1, 327, 1.5426358964855002e-08
500, 0.6843, 0.15, 327, 1.542635896492e-08
500, 0.6843, 0.2, 327, 1.5426358965060004e-08
500, 0.6843, 0.25, 327, 1.5426358965184998e-08
500, 0.6843, 0.3, 327, 1.542635896530001e-08
500, 0.6843, 0.35, 336, 1.5693726613726523e-08
500, 0.6843, 0.4, 108, 7.571885147319325e-09
500, 0.6843, 0.45, 59, 4.602129889881787e-09
500, 0.6843, 0.5, 59, 4.602129889882616e-09
500, 0.6843, 0.55, 59, 4.6021298899395015e-09
500, 0.6843, 0.6, 59, 4.6021298899395015e-09
500, 0.6843, 0.65, 59, 4.6021298899395015e-09
500, 0.6843, 0.7, 59, 4.6021298899395015e-09
500, 0.6843, 0.75, 59, 4.6021298899395015e-09
500, 0.6843, 0.8, 59, 4.6021298899395015e-09
500, 0.6843, 0.85, 59, 4.6021298899395015e-09
500, 0.6843, 0.9, 59, 4.6021298899395015e-09
500, 0.6843, 1, 59, 4.602129889829877e-09
